01-oslo	Blue hour before sunrise in a snowy Nordic old town, empty cobbled street, wooden houses with snow on the roofs, a single street lamp still lit, deep pre-dawn light with no sun in the sky, National Geographic documentary photograph, natural colors straight out of camera, no color grading, no filter
02-sapporo	Extreme macro photograph of frost crystals spreading across a window pane on a winter morning, delicate white ice ferns branching, soft pale out-of-focus background, professional macro lens, shallow depth of field, natural colors straight out of camera, no color grading, no filter
03-seoul	A long ginkgo tree avenue in clear autumn, golden yellow leaves against a deep blue sky, the stone wall and tiled roof of an old palace along the path, crisp transparent air, amateur photographer snapshot, natural colors straight out of camera, no color grading, no filter
04-tokyo	Professional macro photograph of a single cherry blossom branch in full bloom, soft pale pink petals with visible stamens, blurred pale sky behind, gentle spring light, shallow depth of field, natural colors straight out of camera, no color grading, no filter
05-santorini	Whitewashed cliffside village above the deep Aegean sea at midday, blue domed church, a narrow stair path between white walls, hard clear sunlight and sharp shadows, National Geographic travel photograph, natural colors straight out of camera, no color grading, no filter
06-lisbon	A narrow old European alley in late afternoon, azulejo tiled facades, a yellow tram climbing the hill, long raking sunlight and long shadows on the cobblestones, amateur photographer snapshot, natural colors straight out of camera, no color grading, no filter
07-havana	A street of weathered pastel colonial buildings with a vintage 1950s car parked in front, harsh midday sun, peeling paint and worn shutters, documentary photograph, natural colors straight out of camera, no color grading, no filter
08-seattle	A wet city street right after rain on an overcast day, reflections on the asphalt, a person with an umbrella walking away from the camera, flat soft grey light with no shadows, amateur photographer snapshot, natural colors straight out of camera, no color grading, no filter
09-paris	A river embankment at dusk, a stone bridge and bare trees silhouetted against a soft glowing sky, two people walking along the quay, gentle backlight, amateur photographer snapshot, natural colors straight out of camera, no color grading, no filter
10-marrakesh	Sand dune ridges in the late afternoon desert, long curving shadows across the sand, a distant line of camels on the crest, warm low sun and fine airborne dust, National Geographic photograph, natural colors straight out of camera, no color grading, no filter
11-hongkong	A dense narrow street at night crowded with stacked neon signs in Chinese characters, wet asphalt reflecting the lights, a scooter passing, humid air, documentary night photograph, natural colors straight out of camera, no color grading, no filter
12-reykjavik	A black volcanic sand beach under a heavy overcast sky, white surf rolling in, dark basalt rock stacks, bleak windswept coastline, National Geographic landscape photograph, natural colors straight out of camera, no color grading, no filter
13-platform	A classic old British railway station platform, Victorian red brick wall, ornate green painted cast iron columns and canopy brackets, an empty wooden bench, two framed posters on the brick, a round station name sign, overcast daylight, symmetrical straight-on composition, documentary photograph, natural colors straight out of camera, no color grading, no filter
